기관명,계약번호,계약명,계약일,계약금액,계약상대자,키워드
거성초등학교,2026K100000720250002,거성초 수업 및 교무업무용 에듀테크 구입 및 구독비 지급,2026-03-27,,,에듀테크
속초고등학교,2026K100000443250070,[S2B]2026 AI·디지털 선도학교 에듀테크 구입(ChatGPT 외 4종),2026-03-27,,,에듀테크
섬강초등학교,2026K100003975250126,[카드]AI디지털 활용 선도학교 운영 에듀테크(제미나이프로구글외 10건) 이용권 구입,2026-03-27,,,에듀테크
섬강초등학교,2026K100003975250128,AI디지털 활용 선도학교 운영 에듀테크(제미나이프로구글외 10건) 이용권 구입,2026-03-27,,,에듀테크
속초고등학교,2026K100000443250068,[S2B]2026 AI·디지털 선도학교 에듀테크 (AI 코스웨어_2학년 오르조),2026-03-26,,,에듀테크
강릉문성고등학교,2026K100000357250043,[S2B] 2026학년도 AI·디지털 활용 에듀테크 구입비 지급(보),2026-03-25,,,에듀테크
속초고등학교,2026K100000443250055,[S2B]2026 강원아이로 선도학교 에듀테크 구입(패들렛 외 3종),2026-03-23,,,에듀테크
문막초등학교,2025K100001349250943,유치원 에듀테크 수업 활용 물품 구입,2026-02-11,,,에듀테크
사내고등학교,2025K100000423240028,2026년 디지털 기반 학생 맞춤교육 선도학교 에듀테크 구독료 품의,2026-02-04,,,에듀테크
사내고등학교,2025K100000423250603,[원인] 2026년 디지털 기반 학생 맞춤교육 선도학교 에듀테크(구글 에듀케이션 플러스),2026-02-02,,,에듀테크
섬강고등학교,2025IMSI251249,섬강고 교사공부방 AI에듀테크(스쿨플랫 수학AI) 구입,2026-01-16,,,에듀테크
섬강고등학교,2025IMSI251251,스공학 컨텐츠 교사공부방 AI에듀테크(플랭스쿨) 구입,2026-01-16,,,에듀테크
섬강고등학교,2025K100004032250735,"섬강고 디지털선도 AI에듀테크(감마플러스, 퍼플렉시티, 감마프로) 구입",2026-01-15,,,에듀테크
중앙초등학교,2025K100001382250870,사교육없는 학교운영 에듀테크 구입비 지급,2025-12-31,,,에듀테크
모산초등학교,2025K100000588250622,디지털 기반 학생 맞춤교육 선도학교 운영을 위한 에듀테크 구독(ZEP QUIZ 프로),2025-12-29,,,에듀테크
섬강고등학교,2025IMSI251169,디지털선도학교 AI에듀테크(패들렛) 구독,2025-12-26,,,에듀테크
섬강고등학교,2025K100004032250692,디지털선도학교 AI에듀테크(클리포 프로) 구독,2025-12-26,,,에듀테크
섬강고등학교,2025K100004032250693,디지털선도학교 AI에듀테크(챗봇 클로드 프로) 구독,2025-12-26,,,에듀테크
사내고등학교,2025K100000423250548,[카드] 2025 강원아이로(구 AIEP) 선도학교 에듀테크 구독료 지급,2025-12-23,,,에듀테크
