회계연도,기관명,계약명,계약일,계약금액,계약방법,계약상대자,키워드
2023,아라초등학교,학급 프린터 잉크 구입,2024-02-27,1180100,1인수의,주식회사 해피넷,(전수)
2023,보목초등학교,2024학년도 시업식 및 입학식 현수막 제작,2024-02-27,1079500,1인수의,정방기획,(전수)
2023,조천중학교,화장실 핸드타올 및 화장지 구입,2024-02-27,1548000,1인수의,주식회사 혼디,(전수)
2023,제주제일고등학교,(카드) 화장실 소모품(손세정제) 구입,2024-02-27,1392000,1인수의,이좋은마트,(전수)
2023,남주중학교,화장실 환경위생관리물품 구입(비데),2024-02-27,1734000,1인수의,제주위닉스,(전수)
2023,장전초등학교,복사용지 및 사무용품 구매,2024-02-27,2998660,1인수의,주식회사 신동아문구,(전수)
2023,제주중앙고등학교,2023학년도 학교 관리실 석면공사에 따른 관급 비품구입,2024-02-26,1353000,1인수의,제주지방조달청,(전수)
2023,제주중앙고등학교,2023학년도 학교 관리실 석면공사에 따른 관급 비품구입 지출,2024-02-26,1428000,1인수의,제주지방조달청,(전수)
2023,제주중앙고등학교,본관동 소방펌프 교체 소방공사 계약,2024-02-26,17040000,1인수의,주식회사 아이앤,(전수)
2023,오라초등학교,2024학년도 신입생 입학식 학생선물 구입,2024-02-26,1375000,1인수의,리브레플라워,(전수)
2023,대정초등학교,(카드)유치원 학습준비물 구입,2024-02-26,1279870,1인수의,이케이 주식회사,(전수)
2023,남광초등학교,화단조성용 꽃 구입,2024-02-26,1600000,1인수의,유일화원,(전수)
2023,제주중앙고등학교,2023학년도 보건실 운영 물품(체성분분석기) 구입 지출,2024-02-26,2900000,1인수의,제주메디,(전수)
2023,영주고등학교,방송실 운영에 필요한 물품 구매,2024-02-26,2277100,1인수의,컴퓨존,(전수)
2023,제주중앙고등학교,본관동 소방펌프 전기분전함 교체 공사에 따른 전기분전함 구매 지출,2024-02-26,6300000,1인수의,제주지방조달청,(전수)
2023,오현고등학교,축구부 훈련 용품 구입,2024-02-26,7975000,1인수의,미즈노 신제주점,(전수)
2023,신성여자중학교,(카드) 과학활동에 따른 물품 구입,2024-02-26,2903200,1인수의,주식회사세원과학사,(전수)
2023,대기고등학교,행정실 바닥 교체 공사 계약,2024-02-26,3000000,1인수의,세온건설,(전수)
2023,서귀포중학교,교내 생활폐기물 처리 등 작업 실시,2024-02-26,2046600,1인수의,보람환경,(전수)
2023,제주서중학교,안전대피로 및 학급표찰 제작,2024-02-26,1197000,1인수의,주식회사바나나아이디씨,(전수)
2023,삼성초등학교,"학교시설물(본관동, 수영장 등) 유지보수물품 구입",2024-02-26,2241100,1인수의,한영종합상사,(전수)
2023,제주여자고등학교,교내 화장실 화장지 구입,2024-02-26,3400000,1인수의,(주)유한D&S,(전수)
2023,외도초등학교,2024학년도 시업식 입학식 운영 물품 대여,2024-02-26,1790000,1인수의,"파티,하라",(전수)
2023,무릉중학교,통학버스 차량용 블랙박스 구입,2024-02-26,1800000,1인수의,세진자동차용품점,(전수)
2023,도남초등학교,복사용지 구입,2024-02-26,2700000,1인수의,주식회사 혼디,(전수)
2023,아라중학교,2024학년도 학급증가 및 교실 재배치에 따른 블라인드 설치,2024-02-26,1600000,1인수의,주식회사 벽진,(전수)
2023,아라중학교,교직원 휴게실 탁자 구입,2024-02-26,1700000,1인수의,더퍼니처,(전수)
2023,노형초등학교,G2B)정보화기기 구입(태블릿충전보관함),2024-02-26,1942500,1인수의,제주지방조달청,(전수)
2023,동홍초등학교,2024 입학식 물품(꽃다발) 구입,2024-02-26,1316000,1인수의,모이,(전수)
2023,동홍초등학교,체육관 화장실용 펌프 교체,2024-02-26,1716000,1인수의,유일종합개발,(전수)
2023,조천중학교,교무실 이전으로 인한 씽크대 설치,2024-02-26,1980000,1인수의,창명부엌가구,(전수)
2023,위미초등학교,학교 교실 내 천정형 선풍기 철거 작업,2024-02-26,3058000,1인수의,진성전력주식회사,(전수)
2023,제주중앙중학교,교내 금연안내판 등 설치,2024-02-26,1622500,1인수의,ING기획,(전수)
2023,제주중앙중학교,정보화기기 부속품 구입 및 교체,2024-02-26,5631500,1인수의,(주)대성정보기술,(전수)
2023,신제주초등학교,(원인)본관 3층 역사관 내 6학년 연수실 수도 설비 공사,2024-02-26,4400000,1인수의,제주하수구씽크대막힘변기막힘뚫는참된설비,(전수)
2023,납읍초등학교,(카드)화장실 온열 변기커버 구입 설치,2024-02-26,1068800,1인수의,쿠팡(주),(전수)
2023,서귀포대신중학교,[조달]교내 관리자실 환경개선용 물품 구입-캐비닛 외,2024-02-26,5390000,1인수의,주식회사 아모스아인스가구,(전수)
2023,성산중학교,(카드)유도부 동계훈련 경비(특식비) 지출,2024-02-26,1200000,1인수의,성산풍천장어,(전수)
2023,성산중학교,(카드)IB World School 인증에 따른 홍보 물품(치약칫솔세트) 구입,2024-02-26,1787500,1인수의,조아기프트(주),(전수)
2023,제주남초등학교,[카드]2023. 유치원 학급 게시판 제작비 지급,2024-02-26,3080000,1인수의,제주보육사,(전수)
2023,한림고등학교,디지털 도어락 설치 및 실린더 교체,2024-02-26,1040000,1인수의,현대유리알미늄,(전수)
2023,함덕고등학교,음악관 피아노 클리닝 실시,2024-02-26,4000000,1인수의,예당뮤직앤사운드,(전수)
2023,제주남초등학교,2024. 유치원 특수학급 증설에 따른 시설비(세면대 수납장) 지출,2024-02-26,4550000,1인수의,삼양가구,(전수)
2023,제주중앙여자고등학교,(조달) 플로터 프린터 구입,2024-02-26,7700000,1인수의,주식회사루트온플러스,(전수)
2023,제주중앙고등학교,진로교육 활성화를 위한 교원연수 실시,2024-02-26,7350000,1인수의,재능기부센터꿈썸멘토,(전수)
2023,제주남초등학교,[카드]2023. 유치원 교수학습 자료 구입비 지출,2024-02-26,1530000,1인수의,제주보육사,(전수)
2023,제주남초등학교,2024. 유치원 특수학급 증설에 따른 시설비 지출,2024-02-26,6480000,1인수의,이래제주,(전수)
2023,제주제일고등학교,교내 혼합폐기물 처리,2024-02-26,2130000,1인수의,광양자원,(전수)
2023,구좌중앙초등학교,관리실 가구 구입,2024-02-26,1500000,1인수의,주식회사디자인에이알,(전수)
2023,표선고등학교,시설관리 용품 구입(비닐 외 4종),2024-02-26,1208000,1인수의,한영종합상사,(전수)
2023,표선고등학교,실별 프린터 토너 구입,2024-02-26,2800000,1인수의,주식회사 해피넷,(전수)
2023,표선고등학교,노후 전화기 교체를 위한 전화기 구입,2024-02-26,2000000,1인수의,한길정보통신,(전수)
2023,이도초등학교,폐기물 처리비 지급,2024-02-26,1848440,1인수의,서은환경개발,(전수)
2023,남녕고등학교,복합기 및 프린터(플로터) 소모품 구입,2024-02-26,14377000,1인수의,한국씨앤씨,(전수)
2023,남녕고등학교,학년교무실 칼라프린터 구입,2024-02-26,1980000,1인수의,한국씨앤씨,(전수)
2023,노형중학교,본관 외부 교훈 제작 및 설치,2024-02-26,2320000,1인수의,주식회사디자인에이알,(전수)
2023,제주서중학교,각종 생활폐기물 처리,2024-02-26,1454200,1인수의,삼다종합용역,(전수)
2023,한라초등학교,[카드]조리종사원 보호대 구입,2024-02-26,1800000,1인수의,세원약국,(전수)
2023,태흥초등학교,교무실 프린터 토너비 지급,2024-02-26,1870000,1인수의,(주)코리아정보,(전수)
2023,동광초등학교,2023학년도 유치원 교육활동운영용품 구입,2024-02-26,1280580,1인수의,이케이 주식회사,(전수)
2023,동광초등학교,2023학년도 유치원 학습자료 및 소모품 구입,2024-02-26,1217570,1인수의,주식회사신동아문구,(전수)
2023,도남초등학교,시설물관리 유지 소모품 구입,2024-02-26,1354000,1인수의,한영종합상사,(전수)
2023,서귀중앙초등학교,행정실 프린터 토너 및 복사기 드럼 구입,2024-02-26,1219000,1인수의,(주)코리아정보,(전수)
2023,성산고등학교,실습동 실내 사인 및 표찰 설치,2024-02-26,1017500,1인수의,동신광고기획,(전수)
2023,제주영지학교,2024학년도 학생용 교과서 및 교사용 지도서 구입,2024-02-26,15561300,1인수의,태성교육사,(전수)
2023,한림초등학교,유치원 학습준비물(아이클레이 외 6종) 구입,2024-02-26,1160000,1인수의,아이꿈터,(전수)
2023,한림초등학교,2024학년도 유치원 입학식 풍선장식 구입,2024-02-26,1190000,1인수의,이레오라풍선,(전수)
2023,한림초등학교,2024학년도 유치원 입학 관련 물품(가방 외 1종) 구입,2024-02-26,3442500,1인수의,제주아라교육,(전수)
2023,중문초등학교,2024학년도 입학식 운영물품 및 신입생 선물 구입,2024-02-26,1800000,1인수의,주식회사 드림,(전수)
2023,제주중앙여자중학교,학교출입문 시트지 작업,2024-02-26,3200000,1인수의,디자인블루앤트,(전수)
2023,수원초등학교,실별 표찰 제작,2024-02-26,1900000,1인수의,디지털아트,(전수)
2023,선흘초등학교,사무용품 구입,2024-02-26,1333000,1인수의,주식회사신동아문구,(전수)
