회계연도,기관명,계약방법,구분,계약명,계약일,계약금액,계약상대자,키워드
2026,인천이음고등학교,1인수의,물품,2026학년도 수업평가 혁신을 위한 에듀테크 라이센스 구입비 지급,2026-05-18,198000,S2B(학교장터),에듀테크
2026,인천비즈니스고등학교,1인수의,물품,[카드] (디지털)S.A.V.E. 디지털 수업 전문적학습공동체 에듀테크 및 수업교구 구입,2026-05-18,65170,주식회사 지마켓(G마켓),에듀테크
2026,인천가림초등학교,1인수의,물품,브루(Vrew) AI 활용 동영상 제작 에듀테크 1년 사용권 구입비 지급,2026-05-18,380160,주식회사 보이저엑스,에듀테크
2026,인천당산초등학교,1인수의,물품,디지털선도학교 에듀테크 및 AI 구독료(아이젠테크) 지급,2026-05-18,7529200,(주)아이젠테크,에듀테크
2026,인천석정초등학교,1인수의,물품,2026학년도 디지털 선도학교 3차 에듀테크 구입,2026-05-15,900000,주식회사 젭,에듀테크
2026,인천석정초등학교,1인수의,물품,2026학년도 디지털 선도학교 2차 에듀테크(김컷) 구입,2026-05-15,189480,Gimkit,에듀테크
2026,인천하정초등학교,1인수의,물품,AI 디지털 활용 선도학교 에듀테크 구입 (3차),2026-05-15,20600,에듀플러스,에듀테크
2026,인천용학초등학교,1인수의,물품,"AI 중점학교 교육과정 수업지원 에듀테크(클로드, 패들렛) 구독",2026-05-15,1170000,주식회사 아이젠테크,에듀테크
2026,인천동암초등학교,1인수의,용역,AI 디지털 선도학교 운영을 위한 에듀테크-아트봉봉스쿨 구입,2026-05-15,408000,(주)아이스크림미디어,에듀테크
2026,인천용학초등학교,1인수의,물품,AI 중점학교 교육과정 수업지원 에듀테크(챗GPT Pro) 구독(S2B),2026-05-14,420000,리프레쉬업,에듀테크
2026,인천해원초등학교,1인수의,물품,[S2B]AI디지털 활용 선도학교 에듀테크 구입,2026-05-14,184000,바이에듀,에듀테크
2026,인천해원초등학교,1인수의,물품,[BC]AI디지털 활용 선도학교 에듀테크 구입(클래시파이)비 지급,2026-05-14,11500,(주)아이스크림미디어,에듀테크
2026,북인천여자중학교,1인수의,물품,(S2B) [AI]2026년 AI융합교육 에듀테크 라이센스 구입(수업용),2026-05-14,479700,올아이피정보통신 주식회사,에듀테크
2026,인천심곡초등학교,1인수의,물품,2026학년도 AI·디지털 활용 선도학교 에듀테크 라이선스 이용권 구입(1차),2026-05-13,4000000,(주)아이젠테크,에듀테크
2026,검단중학교,1인수의,물품,에듀테크 계정 구입(카드),2026-05-13,181000,S2B(학교장터),에듀테크
2026,백석중학교,1인수의,물품,2026학년도 영어과 수업을 위한 에듀테크 프로그램 구독(띵커벨),2026-05-13,240000,(주)아이스크림미디어,에듀테크
2026,산곡중학교,1인수의,물품,「찾아가는 에듀테크 활용 수업·평가 혁신 역량강화」 직무연수 참가자 협의회 실시,2026-05-13,147200,쉐라메르,에듀테크
2026,백석중학교,1인수의,물품,2026학년도 영어과 수업을 위한 에듀테크 프로그램(워드월) 구독료 납부,2026-05-13,530340,Wordwall,에듀테크
2026,인천석정초등학교,1인수의,물품,2026학년도 디지털 선도학교 2차 에듀테크(일프로연산) 구입,2026-05-13,2490000,(주)매쓰마스터,에듀테크
