계약번호,구분,계약명,계약일,금액,수요기관,학교코드,급별,시도,상세URL,학교명,업체명
R26TE16086566,기술용역,2026학년도 학교교육과정 평가회 겸 AI중심학교 선진지 버스 임차용역,2026-06-29,1900000,다빛초등학교,9300171,초등학교,세종특별자치시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02005231&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,다빛초등학교,주식회사 베스트 투어
R26TE16088409,기술용역,2026학년도 1학기 AI진로체험학습 차량임차 용역계약,2026-06-29,660000,충청남도아산교육청 쌍룡초등학교,8181037,초등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02005022&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,쌍룡초등학교,뉴스마일투어 주식회사
R26TE16089077,기술용역,2026학년도 고촌고등학교 AI 융합 프로젝트 계약,2026-06-24,6700000,경기도교육청 경기도김포교육지원청 고촌고등학교,7531375,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01995982&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,고촌고등학교,(주)러닝퓨처
R26TE16089350,기술용역,보성초 AI교실 리모델링 공사 설계용역,2026-06-25,5073300,전라남도보성교육청 보성초등학교,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02005414&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,보성초등학교,삼보건축사사무소
R26TE16089670,기술용역,"2026 AI, 디지털 활용 선도학교 운영을 위한 프로그램 구독비(DBpia AI 상품)",2026-06-26,1633500,경기도교육청 안산강서고등학교,7530182,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02006005&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,안산강서고등학교,주식회사 누리미디어
R26TE16090609,기술용역,보성초 AI교실 리모델링 공사 설계용역,2026-06-25,5073300,전라남도보성교육청 보성초등학교,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02005414&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,보성초등학교,삼보건축사사무소
R26TE16091773,기술용역,호매실고 2026년 1학기 AI프로그램 운영 계약,2026-06-26,12100000,경기도교육청 호매실고등학교,7531041,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02005737&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,호매실고등학교,(주)드림베이스
R26TE16091871,기술용역,호매실고 2026년 1학기 AI프로그램 운영 계약,2026-06-26,12100000,경기도교육청 호매실고등학교,7531041,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02005737&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,호매실고등학교,(주)드림베이스
R26TE16093254,기술용역,2026학년도 Microsoft AI 에이젼트 캠프 운영 Microsoft Copilot & Azure 팩 구매 계약,2026-06-29,5000000,서울특별시교육청 재현고등학교,7010235,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02006787&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,재현고등학교,주식회사 에이마스
R26TE16132472,기술용역,"2026 AI, 디지털 활용 선도학교 운영을 위한 프로그램 구독비(DBpia AI 상품)",2026-06-26,1633500,경기도교육청 안산강서고등학교,7530182,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02006005&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,안산강서고등학교,주식회사 누리미디어
R26TE16134668,기술용역,2026학년도 나래중학교 2학년 인공지능 진로체험 용역 계약,2026-06-25,4200000,경기도교육청 경기도김포교육지원청 나래중학교,7771202,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02003208&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,나래중학교,주식회사 어썸스쿨
R26TE16134995,기술용역,2026년 AI·STEAM 융합교육 프로그램 용역 계약,2026-06-26,7209000,경기도교육청 시온고등학교,7530176,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01995224&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,시온고등학교,주식회사 두메이커
R26TE16135219,기술용역,양명여고 AI 모의면접기 렌탈,2026-06-29,8000000,경기도교육청 양명여자고등학교,7530190,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02003828&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,양명여자고등학교,주식회사 인핸스유
R26TE16137750,기술용역,2026학년도 학교교육과정 평가회 겸 AI중심학교 선진지 버스 임차용역,2026-06-29,1900000,세종특별자치시교육청 다빛초등학교,9300171,초등학교,세종특별자치시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02005231&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,다빛초등학교,주식회사 베스트 투어
R26TE16137750,기술용역,2026학년도 학교교육과정 평가회 겸 AI중심학교 선진지 버스 임차용역,2026-06-29,1900000,다빛초등학교,9300171,초등학교,세종특별자치시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02005231&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,다빛초등학교,주식회사 베스트 투어
R26TE16138164,기술용역,2026학년도 AI중점학교 체험데이 AI건축 계약,2026-06-26,3000000,경기도연천교육청 군남중학교,7701004,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01998316&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,군남중학교,주식회사 창의체험
R26TE16139228,기술용역,2026학년도 서울세명초등학교 AI 창의융합교육 연간용역 ,2026-03-25,10250000,서울특별시교육청 서울특별시강남교육지원청 서울세명초등학교,7091458,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01950840&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,서울세명초등학교,주식회사 미래엔에듀파트너
R26TE16140828,기술용역,2026학년도 AI.디지털 역량강화 교육캠프 운영 용역계약,2026-06-26,7400000,경기도교육청 경기도화성오산교육지원청 신백중학교,7679442,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02009673&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,신백중학교,이티에듀주식회사
R26TE16141180,기술용역,호매실고 2026년 1학기 AI프로그램 운영 계약,2026-06-26,12100000,경기도교육청 호매실고등학교,7531041,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02005737&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,호매실고등학교,(주)드림베이스
R26TE16141437,기술용역,2026년 용죽고 AI로봇교실 교구 대여 및 강사 계약,2026-06-26,5250000,경기도교육청 용죽고등학교,7531600,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02008974&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,용죽고등학교,주식회사 창의와교육
R26TE16144773,기술용역,[재구조화]2026학년도 AI로봇과 교사 전문성 향상 자율연수 운영    ,2026-06-26,12000000,서울특별시교육청 광운인공지능고등학교,7011505,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01989121&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,광운인공지능고등학교,주식회사 오소프
R26TE16144822,기술용역,AI 모델링 및 성능평가 설무과정(AICE 자격연계) 운영 용역,2026-06-29,5969100,전북특별자치도교육청 남원용성고등학교,8321151,고등학교,전북특별자치도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA02010638&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,남원용성고등학교,주식회사 케이티
