회계연도,기관명,계약방법,계약명,계약일,계약금액,계약상대자,키워드
2024,신덕초등학교,1인수의,2024학년 교육복지우선지원사업 심리정서지원 프로그램 3d펜 놀이터 실시(s2b),2024-12-30,1700000,(주) 와이즈교육,(전수)
2024,수미초등학교,1인수의,2024학년도 학습준비물실 물품 구입,2024-12-30,1463600,코끼리문구,(전수)
2024,신도초등학교,1인수의,2024년 학생 구강검진비 지출,2024-12-30,3085600,이웃집치과,(전수)
2024,송정초등학교,1인수의,자기계발 집중운영기간 진로체험활동 운영 물품 구입,2024-12-30,1233000,(주)아이스크림몰,(전수)
2024,삼성중학교,1인수의,에듀파인 통합자산관리 시스템 물품 조사 및 업데이트 작업,2024-12-30,1320000,드림이지넷,(전수)
2024,사직초등학교,1인수의,(S2B)본관동 공간재구조화(구. 그린스마트스쿨) 이사 용역 계약,2024-12-30,49500000,주식회사이사대가,(전수)
2024,동주초등학교,1인수의,동주초등학교 2025년 1-2월 친환경농산물 식재료 구매,2024-12-30,2223000,강서구친환경농산물급식지원센터,(전수)
2024,동주초등학교,2인이상수의,"동주초등학교 2025년 1-2월 축산물(닭,오리) 구매",2024-12-30,2139000,조은닭,(전수)
2024,동주초등학교,2인이상수의,동주초등학교 2025년 1-2월 농수공산품 구매,2024-12-30,19337250,이레식품,(전수)
2024,동주여자고등학교,1인수의,2024학년도 아침체인지 참여학생 시상품 구입,2024-12-30,1020000,CJ올리브영(주),(전수)
2024,동명초등학교,1인수의,2024년도 2학기 도서 구입비 지출(S2B),2024-12-30,6346480,유성서점,(전수)
2024,동주초등학교,2인이상수의,"동주초등학교 2025년 1-2월 축산물(소,돼지) 구매",2024-12-30,3892000,진환축산,(전수)
2024,동일중앙초등학교,1인수의,특별동 앞 오수관 수리 수선,2024-12-30,2706000,태형건업,(전수)
2024,동일중앙초등학교,1인수의,2024학년도 AI교구활용동아리(3-3) 교구 구입,2024-12-30,1600000,한국문구도매센터 활문사,(전수)
2024,동인고등학교,1인수의,동인고등학교 법사면 예초작업 및 폐기물 처리비 지출,2024-12-30,4100000,자연조경,(전수)
2024,동의중학교,1인수의,우수학교 스포츠클럽 운영비 지출,2024-12-30,2046000,탑앤탑,(전수)
2024,동의고등학교,1인수의,안전보건관리 개선사업 관련 안전물품(작업복) 구입비 지출,2024-12-30,2300000,태일공구종합상사,(전수)
2024,동의고등학교,1인수의,기술사관육성사업(반도체) 실습재료 구입비 지출,2024-12-30,2794000,태일공구종합상사,(전수)
2024,동양초등학교,1인수의,2024학년 과학실험물품구입,2024-12-30,2535500,로봇코리아,(전수)
2024,동신중학교,1인수의,학부모상담실 구축 물품(녹화기 등 6개 물품) 구입비 지출,2024-12-30,2459000,한울정보시스템,(전수)
2024,동신중학교,1인수의,2024학년도 학년및학급활동 1년 돌아보기 물품(필통 외 1종) 구입비 지출,2024-12-30,1558190,주식회사 지마켓,(전수)
