계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL,업체명
2024030652381,기술용역,2024 자유학기제 연계 챗GPT 진로 체험(변경),2024-03-28,360000,충청남도아산교육청 송남중학교,송남중학교,8181007,중학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024030F151_5&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 어썸스쿨
2024030652530,기술용역,2024학년도 전대초 소프트웨어 교육 운영 위탁 용역,2024-03-28,5520000,충청남도당진교육청 전대초등학교,전대초등학교,8291041,초등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202423025A8_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,나우누리 교육 재단법인
2024030655082,기술용역,2024학년도 학교 교육과정 안내 홍보용 챗봇 유지보수 용역,2024-03-28,1200000,세종특별자치시교육청 세종미래고등학교,세종미래고등학교,9300329,고등학교,세종특별자치시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202423028E4_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 메이크봇
2024030656028,기술용역,2024학년도 상반기 모현초 인공지능(AISW) 방과후 코딩 교육 용역 계약,2024-03-29,2660000,경기도용인교육청 모현초등학교,모현초등학교,7751080,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202423029F8_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 브레인스파크
2024030657609,기술용역,조종중 미래를 여는 드론 자율주행 SW 프로그램 위탁 교육,2024-03-28,5280000,경기도가평교육청 조종중학교,조종중학교,7721007,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20242302BFA_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,(주)한컴아카데미
2024030693166,기술용역,2024학년도 창의공감협력적 AI 융합교육 위탁용역,,18720000,서울특별시서부교육청 서울대신초등학교,서울대신초등학교,7031119,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024230365E_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 퓨쳐스쿨
2024030693361,기술용역,"방일초등학교 드론, 고카 SW 코딩 교육 및 드론축구 교육 용역 계약",2024-03-29,7480000,경기도가평교육청 방일초등학교,방일초등학교,7721014,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202423036C9_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,(주)한컴아카데미
2024030694059,기술용역,광주고 정보과 AI코스웨어 운영 계약,2024-04-01,9900000,경기도교육청 광주고등학교,광주고등학교,7530521,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20242303864_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 엘리스그룹
2024030694294,기술용역,6학년 수학 A코스웨어 구입,2024-03-28,7849000,경기도동두천교육청 지행초등학교,지행초등학교,7602079,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202423038DC_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,테크빌교육(주)
2024030694522,기술용역,2024학년도 태안초 교육지원 서비스(클래스팅 AI러닝) 이용 계약,2024-04-01,19900000,경기도교육청 경기도화성오산교육지원청 태안초등학교,태안초등학교,7679059,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024230396E_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 씨티
2024030694563,기술용역,"4,5학년 영어 AI코스웨어 구매 계약",2024-04-01,15522000,경기도동두천교육청 지행초등학교,지행초등학교,7602079,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20242303985_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,(주)디엔소프트
2024030694662,기술용역,2024학년도 이담초 에듀테크 기반 미래교육 교구 임대 계약,2024-03-29,14340000,경기도동두천교육청 이담초등학교,이담초등학교,7602076,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202423039B9_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,(주) 핸즈온테크놀러지
2024030695130,기술용역,2024학년도 1학기 군포대야초  AI교육 프로그램 운영 계약,2024-04-02,7000000,경기도교육청 경기도군포의왕교육청 군포대야초등학교,군포대야초등학교,7642075,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20242303AAA_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 브레인스파크
2024030696652,기술용역,감정초 2024학년도 SW코딩수업 운영 용역 계약 체결,2024-03-29,11600000,경기도김포교육청 감정초등학교,감정초등학교,7771039,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20242303E23_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,다인교육
