기관명,계약명,계약일,계약금액,계약상대자,키워드
옥현유치원,코딩 교재 구입,2024-12-23,1536000,키즈에듀,코딩
내황유치원,"2025년 1월 4,5세 방학 중 코딩 교재 구입",2024-12-23,1230000,잼놀이터,코딩
장생포초등학교,2024학년도 방과후학교 프로그램(로봇코딩)교구 구입,2024-12-23,1575000,주원3D,코딩
옥현유치원,2024학년도 겨울방학 활동을 위한 코딩 교구 구입,2024-12-19,3168000,키즈에듀,코딩
상북유치원,11월 특성화 재료비(창의블럭 및 코딩) 지급,2024-12-04,1154000,바른가치,코딩
중산초등학교,2024학년도 유치원 12월 코딩 놀이활동(7세) 학습 자료 구입비 지출,2024-12-02,1705000,키즈에듀,코딩
내황유치원,"12월 4,5세 코딩 교재 구입",2024-12-02,1230000,잼놀이터,코딩
동백초등학교,2024년 12~2월 유치원 유아학비(교육과정)관련 교구(코딩) 구입,2024-11-27,1845000,아이교육,코딩
월평유치원,2024학년도 12월 방과후과정 특성화 코딩 교재비 지출,2024-11-22,1230000,아이교육,코딩
상북유치원,10월 특성화 재료비(창의블럭 및 코딩) 지급,2024-11-04,1154000,바른가치,코딩
내황유치원,"11월 4,5세 코딩 교재 구입",2024-11-01,1230000,잼놀이터,코딩
동백초등학교,2024년 11월 유치원 유아학비(교육과정)관련 교구 및 교재비(코딩 및 수학),2024-11-01,1095000,아이교육,코딩
중산초등학교,2024학년도 유치원 11월 코딩 놀이활동(7세) 학습 자료 구입비 지출,2024-10-31,1705000,키즈에듀,코딩
월평유치원,2024학년도 11월 방과후과정 특성화 코딩 교재비 지출,2024-10-22,1230000,아이교육,코딩
옥현초등학교,정보교과활동 지원 물품 구입(코딩 키트 햄스터로봇 세트),2024-10-10,1100000,11번가,코딩
온양초등학교,코딩로봇 구입,2024-10-07,4473000,테이크세븐,코딩
천상초등학교,"2학기 유치원 과학, 코딩 놀이교재 구입",2024-10-07,1527500,위드키즈주식회사,코딩
상북유치원,9월 특성화 재료비(창의블럭 및 코딩) 지급,2024-10-04,1134000,바른가치,코딩
내황유치원,"10월 4,5세 코딩 교재 구입",2024-10-02,1230000,잼놀이터,코딩
태화초등학교,2024학년도 유치원 10월 교재 구입(코딩 외 4종),2024-09-27,1293000,아이교육,코딩
동백초등학교,2024년 10월 유치원 유아학비(교육과정)관련 교구 및 교재 구입(코딩 및 수학),2024-09-26,1110000,아이교육,코딩
약사가온유치원,2024학년도 2학기 코딩 교재 구입,2024-09-25,2404800,아이들의세상,코딩
월평유치원,2024학년도 10월 방과후과정 특성화 코딩 교재비 지출,2024-09-23,1230000,아이교육,코딩
백양초등학교,실과 수업용 코딩 로봇 구입비 지출,2024-09-19,1500000,(주)영진에듀,코딩
동대초등학교,2024. 9월 유치원 학습교재(코딩및과학) 구입,2024-09-06,1464000,키즈에듀,코딩
상북유치원,8월 특성화 재료비(창의블럭 및 코딩) 지급,2024-09-03,1128000,바른가치,코딩
동백초등학교,2024년 9월 유치원 유아학비(교육과정)관련 교구 및 교재(코딩 및 수학),2024-08-27,1068000,아이교육,코딩
월평유치원,2024학년도 9월 방과후과정 특성화 코딩 교재비 지출,2024-08-26,1230000,아이교육,코딩
울산중앙여자고등학교,고교학점제 정보과 교수학습활동 및 코딩 방과후학교 운영물품 구입,2024-08-12,1430000,나무상점,코딩
동백초등학교,2024년 8월 유치원 유아학비(교육과정)관련 교구 및 교재 구입(코딩 및 수학),2024-07-30,1098000,아이교육,코딩
상북유치원,7월 특성화 재료비(창의블럭 및 코딩)지급,2024-07-29,1140000,바른가치,코딩
청량초등학교,"2024학년도 유치원 방과후과정 특성화 프로그램 코딩 6,7월 교재비 지급",2024-07-25,1275000,아이교육,코딩
두왕초등학교,2024 온라인코딩파티 올림픽(꿈끼탐색주간) 물품 구입,2024-07-23,1336800,네이버파이낸셜,코딩
월평유치원,2024학년도 8월 방과후과정 특성화 코딩 교재비 지출,2024-07-19,1230000,아이교육,코딩
상북유치원,6월 특성화 재료비(창의블럭 및 코딩) 지급,2024-07-04,1130000,바른가치,코딩
내황유치원,"7월 4,5세 코딩 교재 구입",2024-06-28,1230000,잼놀이터,코딩
학성고등학교,2024학년도 코딩 프로그램 활용 드론 만들기 물품 구입,2024-06-26,1100000,(주) 아인교육,코딩
동백초등학교,2024년 7월 유치원 유아학비(교육과정)관련 교구 및 교재 구입(코딩 및 수학),2024-06-25,1134000,아이교육,코딩
약사가온유치원,6월 가온책누리 및 6~7월 코딩 교재 구입,2024-06-24,2598000,아이들의세상,코딩
월평유치원,2024학년도 7월 방과후과정 특성화 코딩 교재비 지출,2024-06-21,1230000,아이교육,코딩
