회계연도,기관명,계약명,계약일,계약금액,계약방법,계약상대자,키워드
2024,대전호수초등학교,2024학년도 디지털 AI 코스웨어(영어과) 구입비 지급,2024-04-26,8550000,1인수의,주식회사 디엔소프트,코스웨어
2024,대전호수초등학교,2024학년도 디지털 AI 코스웨어(정보교육) 구입비 지급,2024-04-26,11800000,1인수의,주식회사 로지브라더스,코스웨어
2024,대전호수초등학교,2024학년도 디지털 AI 코스웨어(수학과) 구입비 지급,2024-04-26,16060000,1인수의,테크빌교육(주),코스웨어
2024,대전호수초등학교,2024학년도 디지털 AI 코스웨어(국어과) 구입비 지급,2024-04-26,6000000,1인수의,(주)팀플백,코스웨어
2024,동방고등학교,디지털교육 선도학교 관련 AI코스웨어(패들렛) 구입비 지출,2024-04-23,1485000,1인수의,주식회사 오늘배움,코스웨어
2024,대전옥계초등학교,2024학년도 연구학교 AI 코스웨어 구입비 지급,2024-04-15,5000000,1인수의,(주)클래스팅,코스웨어
2024,호수돈여자중학교,[2024 디지털 교육 선도학교] 수학과 AI코스웨어 구입비 지출(원인),2024-04-12,6593400,1인수의,비트루브,코스웨어
2024,대전문지중학교,2024년 디지털 교육 선도학교 운영을 위한 영어 교과 AI 코스웨어 구입,2024-04-01,7322400,1인수의,동아출판(주),코스웨어
2024,호수돈여자중학교,[2024 디지털 교육 선도학교] 영어교과 AI코스웨어 구입비 지출(원인),2024-04-01,6993000,1인수의,(주)천재교과서,코스웨어
2024,대전신일여자고등학교,2024학년도 디지털 선도학교 운영 관련 코스웨어(AICE) 구입비 지출 원인행위,2024-04-01,3000000,1인수의,(주)한국경제신문,코스웨어
2024,대전경덕중학교,[2024 디지털교육 선도학교] 영어교과 AI 코스웨어 구독비 원인행위,2024-03-27,4000000,1인수의,주식회사 제로엑스플로우,코스웨어
2024,신탄중앙중학교,AI 코스웨어 교육용 물품(블루투스 헤드셋) 구입비 지급,2024-03-27,6000000,1인수의,위드플러스,코스웨어
2024,대전경덕중학교,[2024학년도 디지털교육 선도학교] 과학교과 AI코스웨어 구독비 원인행위,2024-03-25,2970000,1인수의,(주)다날,코스웨어
2024,대전경덕중학교,[2024 디지털교육 선도학교] 사회교과 AI코스웨어 구독비 원인행위,2024-03-22,3000000,1인수의,주식회사 클래스팅,코스웨어
2024,대전대신초등학교,"2024학년도 AI 코스웨어 플랫폼(수학,과학,영어) 사용료 지급",2024-03-18,6000000,1인수의,주식회사 클래스팅,코스웨어
2024,대전신일여자고등학교,2024학년도 디지털 선도학교 운영 관련 코스웨어 라이선스 사용료 지출 원...,2024-03-18,15208000,1인수의,테크빌교육(주),코스웨어
2024,대전신일여자고등학교,2024년 디지털 선도학교 운영 관련 코스웨어(엘리스클래스AI 플랜) 사용료 ...,2024-03-18,6500000,1인수의,(주)엘리스그룹,코스웨어
2024,대전경덕중학교,[2024 디지털교육 선도학교] 수학교과 AI코스웨어 구독비 원인행위,2024-03-18,5412000,1인수의,한국교직원공제회S2B,코스웨어
2024,대전대신초등학교,2024학년도 AI 코스웨어 플랫폼(국어)사용료 지급,2024-03-18,4500000,1인수의,주식회사 팀플백,코스웨어
