제품명,영문명,공급자,구분,확인여부,등록일
북토리,BOOKTORY,,private_domestic,confirmed,2026-05-22
코비하우스VR,,,private_domestic,confirmed,2026-05-21
IoT 플랫폼 서비스,,,private_domestic,confirmed,2026-04-13
AI 학습 소프트웨어,,,private_domestic,confirmed,2026-04-13
뚜루뚜루 AI,true true,,private_domestic,confirmed,2026-02-12
알로,ALLO,,private_foreign,improvement_requested,2026-04-20
알로(ALLO),ALLO,,private_foreign,improvement_requested,2026-05-21
,Bookrail,,private_domestic,confirmed,2026-03-25
레이어드AI,layerdeAI,,private_domestic,confirmed,2026-05-21
"비바샘, 매쓰캔버스, 샘보드+, 샘퀴즈, 스마트 수업도구, 학습심리정서검사",,,private_domestic,confirmed,2026-01-23
핏데이,FITDAY,,private_domestic,confirmed,2026-05-19
,,,private_domestic,confirmed,2026-01-27
크립톤,,,private_foreign,improvement_requested,2026-04-03
,AI 천체망원경 베스페라 시리즈 용 앱 Singularity,,private_foreign,improvement_requested,2026-01-29
리베르스쿨 교과서,,,private_domestic,confirmed,2026-02-27
Agency Workspace,,,private_foreign,confirmed,2026-04-02
클랙스,Claix,,private_domestic,confirmed,2026-05-14
FlexClip,FlexClip,PearlMountain Limited,private_foreign,confirmed,2026-05-21
다관절 사족보행 로봇 시뮬레이터,4legRobot,김정수,other,confirmed,2026-05-21
V-MECA,,,private_domestic,confirmed,2026-02-11
V-ECOD,,,private_domestic,confirmed,2026-02-11
V-AMT,,,private_domestic,confirmed,2026-02-11
GV-CNC,,,private_domestic,confirmed,2026-02-11
,STLINK,,private_domestic,confirmed,2026-01-23
모아진/도서관 매거진,,,private_domestic,confirmed,2026-04-28
,CodeFriends,,private_domestic,confirmed,2026-05-18
,TutorFlow,,private_domestic,confirmed,2026-05-18
,,,private_domestic,improvement_requested,2026-05-11
,Infynikids (INKY),,private_domestic,confirmed,2026-01-29
스카티고,SCOTTIEGO,,private_foreign,improvement_requested,2026-04-20
ReadTheory,ReadTheory,"ReadTheory Education Service, Inc.",private_foreign,confirmed,2026-05-19
글숲,Geul-Soup,이진호,other,confirmed,2026-05-19
고전5미닛,,,private_domestic,confirmed,2026-05-14
Pivot Animator,Pivot Animator,Motusoft GmbH,private_foreign,confirmed,2026-05-19
Adobe Creative Cloud All apps,,,private_foreign,confirmed,2026-02-27
나보:J,NAVO:J,,private_domestic,confirmed,2026-05-11
소나스쿨,SONA School,,private_domestic,confirmed,2026-01-28
메이커봇 슬라이싱,MakerBot,,private_foreign,improvement_requested,2026-05-19
마이마블,MyMarble,,private_domestic,confirmed,2026-05-13
이타시티,itacity,,private_domestic,confirmed,2026-04-17
CLO,,,private_domestic,confirmed,2026-05-18
JINNY,JINNY,클로버추얼패션,private_domestic,confirmed,2026-03-23
"네이버 서비스(네이버 폼, 네이버 데이터랩, 파파고, 제페토, 네이버 밴드, 클로바 더빙/노트, 네이버 지도, 네이버 사전, 하이퍼클로바 X, 네이버 카페, 네이버 블로그, Mybox)",NAVER,,private_domestic,confirmed,2026-02-19
zSpace Studio A3,zSpace Studio A3,,private_foreign,confirmed,2026-05-14
Logger Pro™ 3,Logger Pro™ 3,,private_foreign,confirmed,2026-05-15
아이들이북 리딩클럽,,,private_domestic,confirmed,2026-05-14
아이들이북 e러닝,,,private_domestic,confirmed,2026-05-14
McGraw Hill Learning Platform  (K-12),McGraw Hill Learning Platform  (K-12),McGraw Hill,private_foreign,confirmed,2026-05-18
아이핏 전용 소프트웨어,,,private_domestic,confirmed,2026-05-18
XR스크린 전용 소프트웨어,,,private_domestic,confirmed,2026-05-18
,Araform,,private_domestic,confirmed,2026-05-13
ClearScanner,ClearScanner,INDY MOBILE APP COMPANY LIMITED,private_foreign,confirmed,2026-05-06
소프트웨어야 놀자,,,private_domestic,confirmed,2026-05-14
,,,private_domestic,improvement_requested,2026-05-14
방송부 앱,STBS,이현욱,other,confirmed,2026-05-14
곰도리,gomdory,곰도리플랫폼,other,confirmed,2026-05-14
마이 그린,mygreen,,private_domestic,improvement_requested,2026-05-12
,PixyNote,,private_domestic,confirmed,2026-03-16
망고팩토리,Mango Factory,주식회사 에딜,private_domestic,confirmed,2026-04-20
국악놀이터,,,public_including_city_province,confirmed,2026-02-09
ClassPoint,ClassPoint,Inknoe,private_foreign,confirmed,2026-05-13
직업계고 채움119,,,public_including_city_province,improvement_requested,2026-04-30
BookWidgets,BookWidgets,KIDIMEDIA BV,private_foreign,confirmed,2026-05-08
GeoGebra software/apps,GeoGebra software/apps,GeoGebra GmbH,private_foreign,confirmed,2026-05-11
,naemo,,private_domestic,confirmed,2026-05-06
,3LINEDIARY,,private_domestic,confirmed,2026-03-03
Brainingcamp,Brainingcamp,"Brainingcamp, LLC",private_foreign,improvement_requested,2026-04-13
,ZYXCAD AX,,private_domestic,confirmed,2026-05-11
myCompiler,myCompiler,myCompiler,private_foreign,confirmed,2026-05-11
진로이음,,,public_including_city_province,improvement_requested,2026-05-09
MakerCase,MakerCase,Jonathan Hollander (sole proprietorship),private_foreign,confirmed,2026-05-08
​LEGO® Education레고에듀케이션 컴퓨터사이언스&AI S/W,​LEGO® Education Computer Science &AI S/W,,private_foreign,confirmed,2026-02-24
​LEGO® Education레고에듀케이션 사이언스(11+),​LEGO® Education   Science(11+),,private_foreign,confirmed,2026-02-24
​LEGO® Education 레고에듀케이션 EV3 코어세트  마인드스톰 3세대 S/W,​LEGO® Education MINDSTORMS EV3,,private_foreign,confirmed,2026-03-25
​LEGO® Education레고에듀케이션 스파이크_에센셜앱,​LEGO® Education SPIKE Essential,,private_foreign,confirmed,2026-02-24
​LEGO® Education레고에듀케이션 스파이크_프라임 앱,LEGO® Education SPIKE™ Prime,,private_foreign,confirmed,2026-02-24
​LEGO® Education레고에듀케이션  Wedo 2.0 위두 코어세트,​LEGO® Education WeDO 2.0,,private_foreign,confirmed,2026-03-25
"Free VIA Adult and Youth Survey, and Top 5, Total 24 & Youth Reports","Free VIA Adult and Youth Survey, and Top 5, Total 24 & Youth Reports",VIA Institute on Character.,private_foreign,confirmed,2026-05-08
StoryJumper,StoryJumper,"StoryJumper, Inc.",private_foreign,confirmed,2026-05-08
잼S 학생개별형,JemS Student Individual License,,private_domestic,confirmed,2026-04-16
NoRedInk,NoRedInk,NoRedInk Corp.,private_foreign,confirmed,2026-05-08
강원특별자치도교육청 통합전자도서관,,,public_including_city_province,confirmed,2026-02-23
스크래치 주니어,ScratchJr,,private_foreign,confirmed,2026-05-08
잼S 학교공용형,JemS School Shared License,,private_domestic,confirmed,2026-04-16
,AI MATAMATH,,private_domestic,confirmed,2026-01-26
"AiSAC (아이작, AI 광고창작 지원 서비스)",AiSAC(Ai analysis System for AD Creation),,public_including_city_province,confirmed,2026-04-27
SAP Learning Hub,SAP Learning Hub,,private_foreign,confirmed,2026-03-31
,,,private_domestic,confirmed,2026-02-24
,,,private_domestic,confirmed,2026-02-24
,,,private_domestic,confirmed,2026-02-24
,,,private_domestic,confirmed,2026-02-24
Breakout EDU,Breakout EDU,"Breakout, Inc.",private_foreign,confirmed,2026-04-13
