계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL
R25TE08151811,기술용역,2025학년도 포항고등학교 인공지능캠프 프로그램 운영 용역,2025-10-15,1800000,경상북도교육청 포항고등학교,포항고등학교,8750133,고등학교,경상북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00971761&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08151846,기술용역,행복플러스 체험활동 - AI 체험부스 운영,2025-10-16,6000000,울산광역시강남교육청 울산중앙초등학교,울산중앙초등학교,7501062,초등학교,울산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00971576&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08155547,기술용역,무학중학교 3학년 AI와 함께하는 고교학점제 맞선 캠프 실시,2025-10-15,4000000,대구가톨릭대사범대부속 무학중학교,무학중학교,7134132,중학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00972228&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08159928,기술용역,2025학년도 안양서중 AI BOT 체험캠프 지역나눔 프로그램 용역 계약,2025-09-29,2000000,경기도안양교육청 안양서중학교,안양서중학교,7569067,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00946527&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08160932,기술용역,창원고등학교 2025학년도 1학년 1학기 AI 디지털교과서(공통영어1) 서비스 공급 용역,2025-10-14,7350000,경상남도교육청 창원고등학교,창원고등학교,9010114,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00520736&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08163217,기술용역,2025학년도 군남 AI캠프 계약,2025-10-15,11000000,경기도연천교육청 군남초등학교,군남초등학교,7701010,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00950793&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08164050,기술용역,상동고 AI 지질탐사 체험캠프 전세버스 임차 용역,2025-10-14,750000,경기도교육청 상동고등학교,상동고등학교,7530577,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00964158&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08164510,기술용역,2025학년도 동수원초등학교 SW교육 AI코딩 체험활동 용역 계약,2025-10-14,5010000,경기도수원교육청 동수원초등학교,동수원초등학교,7541075,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00965124&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08204694,기술용역,영파여자중학교 메타버스 구축 용역,2025-10-16,5300000,서울특별시강동교육청 영파여자중학교,영파여자중학교,7130196,중학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00969259&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08204856,기술용역,2025학년도 탑동초등학교 에듀테크 체험 프로그램 위탁 계약,2025-10-16,5000000,경기도수원교육청 탑동초등학교,탑동초등학교,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00974441&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
